Date,team1,team2,team1_rs,team2_rs,team1_gn,team2_gn,team1_home_gn,team2_away_gn,team1_win,team1_wr,team1_home_wr,team2_wr,team2_away_wr,team1_total_rs,team2_total_rs,team1_avg_rs,team2_avg_rs,team1_home_rs,team2_away_rs,team1_avg_home_rs,team2_avg_away_rs
20160403,KCA,NYN,4,3,1.0,1.0,1.0,1.0,1,,,,,0.0,0.0,,,0.0,0.0,,
20160403,TBA,TOR,3,5,1.0,1.0,1.0,1.0,0,,,,,0.0,0.0,,,0.0,0.0,,
20160403,PIT,SLN,4,1,1.0,1.0,1.0,1.0,1,,,,,0.0,0.0,,,0.0,0.0,,
20160404,ANA,CHN,0,9,1.0,1.0,1.0,1.0,0,,,,,0.0,0.0,,,0.0,0.0,,
20160404,BAL,MIN,3,2,1.0,1.0,1.0,1.0,1,,,,,0.0,0.0,,,0.0,0.0,,
20160404,OAK,CHA,3,4,1.0,1.0,1.0,1.0,0,,,,,0.0,0.0,,,0.0,0.0,,
20160404,TBA,TOR,3,5,2.0,2.0,2.0,2.0,0,0.0,0.0,1.0,1.0,3.0,5.0,3.0,5.0,3.0,5.0,3.0,5.0
20160404,TEX,SEA,3,2,1.0,1.0,1.0,1.0,1,,,,,0.0,0.0,,,0.0,0.0,,
20160404,ARI,COL,5,10,1.0,1.0,1.0,1.0,0,,,,,0.0,0.0,,,0.0,0.0,,
20160404,ATL,WAS,3,4,1.0,1.0,1.0,1.0,0,,,,,0.0,0.0,,,0.0,0.0,,
20160404,CIN,PHI,6,2,1.0,1.0,1.0,1.0,1,,,,,0.0,0.0,,,0.0,0.0,,
20160404,MIL,SFN,3,12,1.0,1.0,1.0,1.0,0,,,,,0.0,0.0,,,0.0,0.0,,
20160404,SDN,LAN,0,15,1.0,1.0,1.0,1.0,0,,,,,0.0,0.0,,,0.0,0.0,,
20160405,ANA,CHN,1,6,2.0,2.0,2.0,2.0,0,0.0,0.0,1.0,1.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0
20160405,CLE,BOS,2,6,1.0,1.0,1.0,1.0,0,,,,,0.0,0.0,,,0.0,0.0,,
20160405,KCA,NYN,0,2,2.0,2.0,2.0,2.0,0,1.0,1.0,0.0,0.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0
20160405,NYA,HOU,3,5,1.0,1.0,1.0,1.0,0,,,,,0.0,0.0,,,0.0,0.0,,
20160405,OAK,CHA,4,5,2.0,2.0,2.0,2.0,0,0.0,0.0,1.0,1.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0
20160405,TBA,TOR,3,2,3.0,3.0,3.0,3.0,1,0.0,0.0,1.0,1.0,6.0,10.0,3.0,5.0,6.0,10.0,3.0,5.0
20160405,TEX,SEA,2,10,2.0,2.0,2.0,2.0,0,1.0,1.0,0.0,0.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0
20160405,ARI,COL,11,6,2.0,2.0,2.0,2.0,1,0.0,0.0,1.0,1.0,5.0,10.0,5.0,10.0,5.0,10.0,5.0,10.0
20160405,MIA,DET,7,8,1.0,1.0,1.0,1.0,0,,,,,0.0,0.0,,,0.0,0.0,,
20160405,MIL,SFN,1,2,2.0,2.0,2.0,2.0,0,0.0,0.0,1.0,1.0,3.0,12.0,3.0,12.0,3.0,12.0,3.0,12.0
20160405,PIT,SLN,6,5,2.0,2.0,2.0,2.0,1,1.0,1.0,0.0,0.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0
20160405,SDN,LAN,0,3,2.0,2.0,2.0,2.0,0,0.0,0.0,1.0,1.0,0.0,15.0,0.0,15.0,0.0,15.0,0.0,15.0
20160406,BAL,MIN,4,2,2.0,2.0,2.0,2.0,1,1.0,1.0,0.0,0.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0
20160406,CLE,BOS,7,6,2.0,2.0,2.0,2.0,1,0.0,0.0,1.0,1.0,2.0,6.0,2.0,6.0,2.0,6.0,2.0,6.0
20160406,NYA,HOU,16,6,2.0,2.0,2.0,2.0,1,0.0,0.0,1.0,1.0,3.0,5.0,3.0,5.0,3.0,5.0,3.0,5.0
20160406,OAK,CHA,2,1,3.0,3.0,3.0,3.0,1,0.0,0.0,1.0,1.0,7.0,9.0,3.5,4.5,7.0,9.0,3.5,4.5
20160406,TBA,TOR,5,3,4.0,4.0,4.0,4.0,1,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,9.0,12.0,3.0,4.0,9.0,12.0,3.0,4.0
20160406,TEX,SEA,5,9,3.0,3.0,3.0,3.0,0,0.5,0.5,0.5,0.5,5.0,12.0,2.5,6.0,5.0,12.0,2.5,6.0
20160406,ARI,COL,3,4,3.0,3.0,3.0,3.0,0,0.5,0.5,0.5,0.5,16.0,16.0,8.0,8.0,16.0,16.0,8.0,8.0
20160406,ATL,WAS,1,3,2.0,2.0,2.0,2.0,0,0.0,0.0,1.0,1.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0
20160406,CIN,PHI,3,2,2.0,2.0,2.0,2.0,1,1.0,1.0,0.0,0.0,6.0,2.0,6.0,2.0,6.0,2.0,6.0,2.0
20160406,MIA,DET,3,7,2.0,2.0,2.0,2.0,0,0.0,0.0,1.0,1.0,7.0,8.0,7.0,8.0,7.0,8.0,7.0,8.0
20160406,MIL,SFN,4,3,3.0,3.0,3.0,3.0,1,0.0,0.0,1.0,1.0,4.0,14.0,2.0,7.0,4.0,14.0,2.0,7.0
20160406,PIT,SLN,5,1,3.0,3.0,3.0,3.0,1,1.0,1.0,0.0,0.0,10.0,6.0,5.0,3.0,10.0,6.0,5.0,3.0
20160406,SDN,LAN,0,7,3.0,3.0,3.0,3.0,0,0.0,0.0,1.0,1.0,0.0,18.0,0.0,9.0,0.0,18.0,0.0,9.0
20160407,ANA,TEX,4,3,3.0,4.0,3.0,1.0,1,0.0,0.0,0.3333333333333333,,1.0,10.0,0.5,3.3333333333333335,1.0,0.0,0.5,
20160407,BAL,MIN,4,2,3.0,3.0,3.0,3.0,1,1.0,1.0,0.0,0.0,7.0,4.0,3.5,2.0,7.0,4.0,3.5,2.0
20160407,NYA,HOU,8,5,3.0,3.0,3.0,3.0,1,0.5,0.5,0.5,0.5,19.0,11.0,9.5,5.5,19.0,11.0,9.5,5.5
