index,Date,team,opponent,runs_scored,runs_allowed,game_number,at_bats,hits,opponent_at_bats,opponent_hits,win_loss,win_frac_actual,win_frac_cummulative_pythagorean,win_frac_cummulative_pythagenpat
81,20160404,ANA,CHN,0,9,1,29,3,37,11,0.0,0.0,0.0,0.0
82,20160405,ANA,CHN,1,6,2,32,4,36,9,0.0,0.0,0.004424778761061947,0.012391222518752788
83,20160407,ANA,TEX,4,3,3,36,11,29,4,1.0,0.3333333333333333,0.07163323782234957,0.1319637446042686
84,20160408,ANA,TEX,3,7,4,33,7,36,10,0.0,0.25,0.09288824383164006,0.16726967164590112
85,20160409,ANA,TEX,1,4,5,29,5,36,10,0.0,0.2,0.0878524945770065,0.17831296285112508
86,20160410,ANA,TEX,3,1,6,26,7,33,7,1.0,0.3333333333333333,0.13793103448275862,0.24638861794862332
0,20160411,ANA,OAK,4,1,7,34,9,35,10,1.0,0.42857142857142855,0.21035332785538208,0.3170421397685819
1,20160412,ANA,OAK,5,4,8,35,10,34,7,1.0,0.5,0.2647058823529412,0.35895845796262194
2,20160413,ANA,OAK,5,1,9,38,11,31,3,1.0,0.5555555555555556,0.34279918864097364,0.4117409778789017
3,20160415,ANA,MIN,4,5,10,32,9,32,8,0.0,0.5,0.3487020534676482,0.41675067743725724
4,20160416,ANA,MIN,4,6,11,34,9,33,10,0.0,0.45454545454545453,0.3435364041604755,0.41498663315964573
5,20160417,ANA,MIN,2,3,12,41,4,44,13,0.0,0.4166666666666667,0.34141201264488935,0.41633434023824173
6,20160418,ANA,CHA,7,0,13,38,13,30,3,1.0,0.46153846153846156,0.4251552080938147,0.4621309411070251
7,20160419,ANA,CHA,0,5,14,29,3,32,9,0.0,0.42857142857142855,0.37935986869101357,0.4399642038489247
8,20160420,ANA,CHA,1,2,15,30,4,26,5,0.0,0.4,0.3733847637415622,0.43871785366076205
9,20160421,ANA,CHA,3,2,16,27,6,30,5,1.0,0.4375,0.3882249560632689,0.4472733074691742
