index,Date,team,opponent,runs_scored,runs_allowed,game_number,at_bats,hits,opponent_at_bats,opponent_hits,home,win_loss,win_frac_actual,win_frac_cummulative_pythagorean,win_frac_cummulative_pythagenpat
0,20180329,ANA,OAK,5,6,1,46,13,42,12,N,0.0,0.0,0.4098360655737705,0.410271738226948
1,20180330,ANA,OAK,2,1,2,32,6,33,7,N,1.0,0.5,0.5,0.5
2,20180331,ANA,OAK,8,3,3,41,12,34,8,N,1.0,0.6666666666666666,0.6923076923076923,0.6481020496141229
3,20180401,ANA,OAK,7,4,4,37,13,31,5,N,1.0,0.75,0.711764705882353,0.6576421105969492
81,20180402,ANA,CLE,0,6,5,33,6,34,7,Y,0.0,0.6,0.5475113122171946,0.5319757354961242
82,20180403,ANA,CLE,13,2,6,36,13,29,1,Y,1.0,0.6666666666666666,0.716793446459918,0.6498524907289951
83,20180404,ANA,CLE,3,2,7,41,6,45,7,Y,1.0,0.7142857142857143,0.7148514851485148,0.6404448510290678
84,20180406,ANA,OAK,13,9,8,38,14,37,13,Y,1.0,0.75,0.7048780487804878,0.6353312879294875
85,20180407,ANA,OAK,3,7,9,33,7,31,7,Y,0.0,0.6666666666666666,0.645704162976085,0.5916416742086669
86,20180408,ANA,OAK,6,1,10,30,7,29,3,Y,1.0,0.7,0.6816890740390078,0.6114324775438869
4,20180409,ANA,TEX,8,3,11,40,13,35,8,N,1.0,0.7272727272727273,0.7048780487804878,0.6240249649373556
5,20180410,ANA,TEX,11,1,12,41,18,35,7,N,1.0,0.75,0.7550205661746915,0.6554021089278484
6,20180411,ANA,TEX,7,2,13,34,9,32,5,N,1.0,0.7692307692307693,0.7700156168662156,0.6623361844047112
7,20180412,ANA,KCA,7,1,14,42,15,34,9,N,1.0,0.7857142857142857,0.7896466721446179,0.6725614806822713
8,20180413,ANA,KCA,5,4,15,38,13,35,11,N,1.0,0.8,0.780305492362691,0.6627641357208891
9,20180414,ANA,KCA,5,3,16,36,9,32,6,N,1.0,0.8125,0.7781282088895408,0.6581326592461945
87,20180417,ANA,BOS,1,10,17,30,4,38,15,Y,0.0,0.7647058823529411,0.7191011235955056,0.6186007441572003
88,20180418,ANA,BOS,0,9,18,33,6,41,14,Y,0.0,0.7222222222222222,0.6638841149030199,0.585226682088982
89,20180419,ANA,BOS,2,8,19,32,4,37,14,Y,0.0,0.6842105263157895,0.6256124721603563,0.5636383264466172
90,20180420,ANA,SFN,1,8,20,31,5,36,9,Y,0.0,0.65,0.5856565553225229,0.5423668773628401
91,20180421,ANA,SFN,4,3,21,29,6,34,7,Y,1.0,0.6666666666666666,0.5875536480686695,0.5425791809989566
92,20180422,ANA,SFN,2,4,22,32,6,39,13,Y,0.0,0.6363636363636364,0.5757507439805213,0.5361191374057476
10,20180423,ANA,HOU,2,0,23,30,4,32,7,N,1.0,0.6521739130434783,0.5842979588230096,0.5393705090408321
11,20180424,ANA,HOU,8,7,24,33,8,38,14,N,1.0,0.6666666666666666,0.5831181345153209,0.5386450268426838
12,20180425,ANA,HOU,2,5,25,31,4,28,5,N,0.0,0.64,0.5680578782811023,0.5311203876486313
93,20180427,ANA,NYA,3,4,26,34,6,34,7,Y,0.0,0.6153846153846154,0.5620004802250197,0.5279440233445283
94,20180428,ANA,NYA,1,11,27,33,7,43,14,Y,0.0,0.5925925925925926,0.5197551300871412,0.5088061599549
95,20180429,ANA,NYA,1,2,28,34,6,31,4,Y,0.0,0.5714285714285714,0.5156211862338296,0.5068440968911291
96,20180501,ANA,BAL,3,2,29,35,10,31,4,Y,1.0,0.5862068965517241,0.51915006016494,0.5082726073829583
97,20180502,ANA,BAL,10,7,30,33,9,34,10,Y,1.0,0.6,0.528753167502715,0.5124144565128605
98,20180503,ANA,BAL,12,3,31,36,15,34,8,Y,1.0,0.6129032258064516,0.5578258143908612,0.5249497540138185
13,20180504,ANA,SEA,5,0,32,36,11,29,5,N,1.0,0.625,0.5734253203118,0.5313401949414462
14,20180505,ANA,SEA,8,9,33,47,17,45,15,N,0.0,0.6060606060606061,0.5663716814159292,0.5282568134994945
15,20180506,ANA,SEA,8,2,34,38,12,30,6,N,1.0,0.6176470588235294,0.5825074750361998,0.5349436391706099
16,20180508,ANA,COL,2,4,35,32,6,29,7,N,0.0,0.6,0.5751002849726825,0.531413576508604
17,20180509,ANA,COL,8,0,36,37,12,34,8,N,1.0,0.6111111111111112,0.5964313421256788,0.5401380626786112
99,20180510,ANA,MIN,7,4,37,32,12,32,8,Y,1.0,0.6216216216216216,0.6017803483149697,0.5421485415159557
100,20180511,ANA,MIN,4,5,38,36,10,33,9,Y,0.0,0.6052631578947368,0.59657510030283,0.5396357764167796
101,20180512,ANA,MIN,3,5,39,41,7,41,10,Y,0.0,0.5897435897435898,0.5891970716905537,0.5362458253876652
102,20180513,ANA,MIN,2,1,40,30,7,33,7,Y,1.0,0.6,0.5911224430665817,0.5366020865575891
103,20180514,ANA,HOU,2,1,41,26,4,30,6,Y,1.0,0.6097560975609756,0.5930148054205794,0.5369446045729427
104,20180515,ANA,HOU,3,5,42,32,8,34,7,Y,0.0,0.5952380952380952,0.5859692307692308,0.5338397549532367
105,20180516,ANA,HOU,0,2,43,32,5,32,5,Y,0.0,0.5813953488372093,0.5804131391804944,0.5312474770778269
106,20180517,ANA,TBA,1,7,44,29,3,39,14,Y,0.0,0.5681818181818182,0.5636782927051711,0.5245010999117109
107,20180518,ANA,TBA,3,8,45,33,6,41,15,Y,0.0,0.5555555555555556,0.5496284042369324,0.5189692060995112
108,20180519,ANA,TBA,3,5,46,31,6,32,5,Y,0.0,0.5434782608695652,0.5438179831852943,0.5166241249916298
109,20180520,ANA,TBA,5,2,47,25,4,34,7,Y,1.0,0.5531914893617021,0.5502323180175529,0.5189312575114093
18,20180522,ANA,TOR,3,5,48,28,4,29,6,N,0.0,0.5416666666666666,0.5446167106848043,0.5166956560474739
19,20180523,ANA,TOR,5,4,49,36,9,35,9,N,1.0,0.5510204081632653,0.5459852931827333,0.5171124747683947
20,20180524,ANA,TOR,8,1,50,39,12,30,5,N,1.0,0.56,0.5607225172354273,0.5225118607440068
21,20180525,ANA,NYA,1,2,51,30,6,28,5,N,0.0,0.5490196078431373,0.5580985209828049,0.5213317555783178
